variable,country,year,value,percentile
shweal_p99p100_992_j,GB,1913,0.6763,p99p100
shweal_p99p100_992_j,GB,1914,0.6983,p99p100
shweal_p99p100_992_j,GB,1919,0.6238,p99p100
shweal_p99p100_992_j,GB,1920,0.5933,p99p100
shweal_p99p100_992_j,GB,1921,0.608,p99p100
shweal_p99p100_992_j,GB,1922,0.6185,p99p100
shweal_p99p100_992_j,GB,1923,0.5962000000000001,p99p100
shweal_p99p100_992_j,GB,1924,0.5971000000000001,p99p100
shweal_p99p100_992_j,GB,1925,0.5916,p99p100
shweal_p99p100_992_j,GB,1926,0.5795,p99p100
shweal_p99p100_992_j,GB,1927,0.5977,p99p100
shweal_p99p100_992_j,GB,1928,0.5770000000000001,p99p100
shweal_p99p100_992_j,GB,1929,0.5804,p99p100
shweal_p99p100_992_j,GB,1930,0.5758,p99p100
shweal_p99p100_992_j,GB,1931,0.5558000000000001,p99p100
shweal_p99p100_992_j,GB,1932,0.555,p99p100
shweal_p99p100_992_j,GB,1933,0.5650000000000001,p99p100
shweal_p99p100_992_j,GB,1934,0.5588000000000001,p99p100
shweal_p99p100_992_j,GB,1935,0.5609000000000001,p99p100
shweal_p99p100_992_j,GB,1936,0.5696,p99p100
shweal_p99p100_992_j,GB,1937,0.5575,p99p100
shweal_p99p100_992_j,GB,1938,0.554,p99p100
shweal_p99p100_992_j,GB,1939,0.536,p99p100
shweal_p99p100_992_j,GB,1940,0.5354,p99p100
shweal_p99p100_992_j,GB,1941,0.525,p99p100
shweal_p99p100_992_j,GB,1946,0.4974,p99p100
shweal_p99p100_992_j,GB,1947,0.4826,p99p100
shweal_p99p100_992_j,GB,1948,0.4769,p99p100
shweal_p99p100_992_j,GB,1949,0.4679,p99p100
shweal_p99p100_992_j,GB,1950,0.4511,p99p100
shweal_p99p100_992_j,GB,1951,0.4424,p99p100
shweal_p99p100_992_j,GB,1952,0.4129,p99p100
shweal_p99p100_992_j,GB,1953,0.4245,p99p100
shweal_p99p100_992_j,GB,1954,0.4495,p99p100
shweal_p99p100_992_j,GB,1955,0.4105,p99p100
shweal_p99p100_992_j,GB,1956,0.4128,p99p100
shweal_p99p100_992_j,GB,1957,0.3908,p99p100
shweal_p99p100_992_j,GB,1958,0.3796,p99p100
shweal_p99p100_992_j,GB,1959,0.3933,p99p100
shweal_p99p100_992_j,GB,1960,0.3862,p99p100
shweal_p99p100_992_j,GB,1961,0.3759,p99p100
shweal_p99p100_992_j,GB,1962,0.363,p99p100
shweal_p99p100_992_j,GB,1963,0.3656,p99p100
shweal_p99p100_992_j,GB,1964,0.3619,p99p100
shweal_p99p100_992_j,GB,1965,0.3502,p99p100
shweal_p99p100_992_j,GB,1966,0.3303,p99p100
shweal_p99p100_992_j,GB,1967,0.3375,p99p100
shweal_p99p100_992_j,GB,1968,0.3415,p99p100
shweal_p99p100_992_j,GB,1969,0.3123,p99p100
shweal_p99p100_992_j,GB,1970,0.3073,p99p100
shweal_p99p100_992_j,GB,1971,0.3049,p99p100
shweal_p99p100_992_j,GB,1972,0.3097,p99p100
shweal_p99p100_992_j,GB,1973,0.2833,p99p100
shweal_p99p100_992_j,GB,1974,0.2678,p99p100
shweal_p99p100_992_j,GB,1975,0.2538,p99p100
shweal_p99p100_992_j,GB,1976,0.2604,p99p100
shweal_p99p100_992_j,GB,1977,0.2377,p99p100
shweal_p99p100_992_j,GB,1978,0.2432,p99p100
shweal_p99p100_992_j,GB,1979,0.2085,p99p100
shweal_p99p100_992_j,GB,1980,0.2114,p99p100
shweal_p99p100_992_j,GB,1981,0.2038,p99p100
shweal_p99p100_992_j,GB,1982,0.1986,p99p100
shweal_p99p100_992_j,GB,1983,0.2013,p99p100
shweal_p99p100_992_j,GB,1984,0.178,p99p100
shweal_p99p100_992_j,GB,1985,0.1855,p99p100
shweal_p99p100_992_j,GB,1986,0.1877,p99p100
shweal_p99p100_992_j,GB,1987,0.1921,p99p100
shweal_p99p100_992_j,GB,1988,0.1801,p99p100
shweal_p99p100_992_j,GB,1989,0.1923,p99p100
shweal_p99p100_992_j,GB,1990,0.1873,p99p100
shweal_p99p100_992_j,GB,1991,0.1834,p99p100
shweal_p99p100_992_j,GB,1992,0.196,p99p100
shweal_p99p100_992_j,GB,1993,0.203,p99p100
shweal_p99p100_992_j,GB,1994,0.2024,p99p100
shweal_p99p100_992_j,GB,1995,0.1856,p99p100
shweal_p99p100_992_j,GB,1996,0.1898,p99p100
shweal_p99p100_992_j,GB,1997,0.2075,p99p100
shweal_p99p100_992_j,GB,1998,0.2118,p99p100
shweal_p99p100_992_j,GB,1999,0.2045,p99p100
shweal_p99p100_992_j,GB,2000,0.2037,p99p100
shweal_p99p100_992_j,GB,2001,0.2043,p99p100
shweal_p99p100_992_j,GB,2002,0.1998,p99p100
shweal_p99p100_992_j,GB,2003,0.1875,p99p100
shweal_p99p100_992_j,GB,2004,0.1931,p99p100
shweal_p99p100_992_j,GB,2005,0.2023,p99p100
shweal_p99p100_992_j,GB,2006,0.2052,p99p100
shweal_p99p100_992_j,GB,2007,0.2056,p99p100
shweal_p99p100_992_j,GB,2008,0.2023,p99p100
shweal_p99p100_992_j,GB,2009,0.2009,p99p100
shweal_p99p100_992_j,GB,2010,0.2004,p99p100
shweal_p99p100_992_j,GB,2011,0.2026,p99p100
shweal_p99p100_992_j,GB,2012,0.2073,p99p100
shweal_p99p100_992_j,GB,2013,0.2263,p99p100
shweal_p99p100_992_j,GB,2014,0.2259,p99p100
shweal_p99p100_992_j,GB,2015,0.2138,p99p100
shweal_p99p100_992_j,GB,2016,0.2128,p99p100
shweal_p99p100_992_j,GB,2017,0.2123,p99p100
shweal_p99p100_992_j,GB,2018,0.2133,p99p100
shweal_p99p100_992_j,GB,2019,0.2109,p99p100
shweal_p99p100_992_j,GB,2020,0.209,p99p100
shweal_p99p100_992_j,GB,2021,0.2115,p99p100
shweal_p99p100_992_j,GB,2022,0.2115,p99p100
shweal_p99p100_992_j,GB,2023,0.2126,p99p100
shweal_p99p100_992_j,GB,2024,0.213,p99p100
